A,B,viewers,buyers,cvr_from_A,base_cvr,interest_lift
2166,2141,256,107,0.418,0.218,1.92
42952,23878,254,87,0.343,0.21,1.63
2166,49255,254,81,0.319,0.213,1.5
55723,55360,254,60,0.236,0.136,1.73
50312,2166,254,73,0.287,0.195,1.47
17212,2143,253,0,0.0,0.0,
2166,27376,253,87,0.344,0.154,2.23
42952,2141,253,114,0.451,0.218,2.07
51565,50312,252,123,0.488,0.225,2.17
55723,2143,252,0,0.0,0.0,
50312,50014,252,61,0.242,0.122,1.99
2141,51565,250,69,0.276,0.177,1.56
42392,534,250,0,0.0,0.0,
2141,2332,249,0,0.0,0.0,
49255,24572,247,38,0.154,0.107,1.43
2141,16378,247,94,0.381,0.226,1.68
42392,55360,247,94,0.381,0.136,2.79
49255,2288,247,0,0.0,0.0,
28894,2141,247,102,0.413,0.218,1.9
2141,50312,246,90,0.366,0.225,1.63
25978,2142,245,139,0.567,0.381,1.49
47704,42660,245,69,0.282,0.159,1.77
51565,18433,245,0,0.0,0.0,
42952,2505,244,90,0.369,0.289,1.28
42952,2148,244,0,0.0,0.0,
2141,2507,243,0,0.0,0.0,
47704,2498,243,0,0.0,0.0,
400,2288,243,0,0.0,0.0,
49816,47935,242,91,0.376,0.188,2.0
55360,57670,242,88,0.364,0.223,1.63
47704,13663,241,122,0.506,0.222,2.28
48332,50312,241,104,0.432,0.225,1.92
21799,31435,240,53,0.221,0.141,1.56
47704,18142,240,41,0.171,0.101,1.69
49519,51301,239,101,0.423,0.22,1.92
43513,23878,239,68,0.285,0.21,1.35
2505,48332,239,58,0.243,0.151,1.6
2141,18646,238,124,0.521,0.379,1.37
1210,2166,238,88,0.37,0.195,1.9
2141,2331,237,0,0.0,0.0,
47506,25978,235,80,0.34,0.157,2.17
400,16468,235,0,0.0,0.0,
2141,18639,235,110,0.468,0.359,1.31
21799,51565,235,86,0.366,0.177,2.07
2166,47704,235,89,0.379,0.195,1.94
47506,2143,235,0,0.0,0.0,
43513,22360,234,34,0.145,0.106,1.37
42952,19192,234,51,0.218,0.114,1.92
43117,55360,234,53,0.226,0.136,1.66
43513,2288,233,0,0.0,0.0,
47704,523,233,40,0.172,0.047,3.66
42392,31435,233,83,0.356,0.141,2.52
48892,49255,232,76,0.328,0.213,1.54
2141,18467,232,97,0.418,0.256,1.63
2141,2429,232,107,0.461,0.369,1.25
28894,534,231,0,0.0,0.0,
50312,57670,231,107,0.463,0.223,2.08
47704,21964,230,32,0.139,0.101,1.38
49255,30875,230,26,0.113,0.082,1.37
55360,56614,229,48,0.21,0.094,2.22
2236,2148,229,0,0.0,0.0,
49816,400,229,117,0.511,0.318,1.61
2141,16451,228,0,0.0,0.0,
42952,16468,228,0,0.0,0.0,
43513,2505,228,104,0.456,0.289,1.58
2166,48892,228,86,0.377,0.133,2.83
51565,49255,227,64,0.282,0.213,1.32
43117,21799,227,68,0.3,0.132,2.27
43513,47506,227,88,0.388,0.193,2.01
21799,55723,227,85,0.374,0.134,2.8
42952,43513,227,81,0.357,0.157,2.28
42952,52621,226,62,0.274,0.163,1.68
47935,400,224,88,0.393,0.318,1.24
