anchor,anchor_name,anchor_topic,anchor_n,rank,rec_menu,rec_name,source,score_pct,pair_n
1210,우리 얼마나 오래 갈까?,연애|*,1257,3,2141,그 사람의 속마음,직접,7.7,73
1210,우리 얼마나 오래 갈까?,연애|*,1257,4,2263,내 애인 바람기,직접,3.7,35
1210,우리 얼마나 오래 갈까?,연애|*,1257,5,2166,그 사람과 나의 사주 궁합,직접,3.6,34
2127,이 주의 금전운,재물금전|*,63,1,2165,사주로 보는 재물운,관심사,6.1,84
2127,이 주의 금전운,재물금전|*,63,2,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,관심사,5.2,71
2127,이 주의 금전운,재물금전|*,63,3,2202,사주로 보는 직업운,관심사,4.2,58
2127,이 주의 금전운,재물금전|*,63,4,2465,사주로 보는 내 전성기,관심사,2.3,31
2127,이 주의 금전운,재물금전|*,63,5,2141,그 사람의 속마음,관심사,1.7,23
2128,연애운 높이는 노하우,연애|*,88,1,2141,그 사람의 속마음,관심사,5.4,1227
2128,연애운 높이는 노하우,연애|*,88,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2128,연애운 높이는 노하우,연애|*,88,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2128,연애운 높이는 노하우,연애|*,88,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2128,연애운 높이는 노하우,연애|*,88,5,400,다시 만날 수 있을까,관심사,2.4,552
2129,싸우지 않으려면,연애|*,31,1,2141,그 사람의 속마음,관심사,5.4,1227
2129,싸우지 않으려면,연애|*,31,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2129,싸우지 않으려면,연애|*,31,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2129,싸우지 않으려면,연애|*,31,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2129,싸우지 않으려면,연애|*,31,5,400,다시 만날 수 있을까,관심사,2.4,552
2141,그 사람의 속마음,연애|속마음,4062,1,17212,그 사람이 연락을 안 하는 이유,직접,12.9,367
2141,그 사람의 속마음,연애|속마음,4062,2,400,다시 만날 수 있을까,직접,5.6,159
2141,그 사람의 속마음,연애|속마음,4062,3,2429,그 사람과 사귀면 어떨까?,직접,4.4,126
2141,그 사람의 속마음,연애|속마음,4062,4,49882,그 사람의 숨겨진 진짜 속마음 💟,직접,3.3,93
2141,그 사람의 속마음,연애|속마음,4062,5,18648,내가 관심 있는 거 눈치챘을까?,직접,3.2,92
2142,재회확률 높이는 법,연애|재회,810,1,400,다시 만날 수 있을까,직접,21.9,143
2142,재회확률 높이는 법,연애|재회,810,2,2141,그 사람의 속마음,직접,7.8,51
2142,재회확률 높이는 법,연애|재회,810,3,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,직접,7.5,49
2142,재회확률 높이는 법,연애|재회,810,4,2236,전연인 어떻게 지낼까,직접,5.4,35
2142,재회확률 높이는 법,연애|재회,810,5,17212,그 사람이 연락을 안 하는 이유,직접,3.7,24
2151,우리가 헤어진 이유,연애|재회,69,1,400,다시 만날 수 있을까,관심사,15.0,1753
2151,우리가 헤어진 이유,연애|재회,69,2,2142,재회확률 높이는 법,관심사,8.7,1014
2151,우리가 헤어진 이유,연애|재회,69,3,2236,전연인 어떻게 지낼까,관심사,6.5,762
2151,우리가 헤어진 이유,연애|재회,69,4,2141,그 사람의 속마음,관심사,5.1,596
2151,우리가 헤어진 이유,연애|재회,69,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,관심사,4.0,468
2152,내 성격유형 분석,자기탐구|*,12,1,2202,사주로 보는 직업운,관심사,3.9,25
2152,내 성격유형 분석,자기탐구|*,12,2,2141,그 사람의 속마음,관심사,3.3,21
2152,내 성격유형 분석,자기탐구|*,12,3,18668,사주로 보는 성격유형,관심사,2.7,17
2152,내 성격유형 분석,자기탐구|*,12,4,18702,내 사주로 연예인이 된다면?,관심사,2.4,15
2152,내 성격유형 분석,자기탐구|*,12,5,2273,전생 알아보기,관심사,2.2,14
2155,이달의 취업운은 어떨까?,학업직업|*,121,1,2248,서류 합격할 수 있을까?,직접,16.0,12
2155,이달의 취업운은 어떨까?,학업직업|*,121,2,2250,면접 합격할 수 있을까?,직접,14.7,11
2155,이달의 취업운은 어떨까?,학업직업|*,121,3,2202,사주로 보는 직업운,관심사,6.9,178
2155,이달의 취업운은 어떨까?,학업직업|*,121,4,2425,이달의 합격운,관심사,4.3,109
2155,이달의 취업운은 어떨까?,학업직업|*,121,5,536,시험 잘 볼 수 있을까,관심사,3.0,77
2164,(미상:2164),총운|*,6,1,2141,그 사람의 속마음,관심사,2.4,74
2164,(미상:2164),총운|*,6,2,55360,2026년 신년운세 보고서,관심사,2.4,74
2164,(미상:2164),총운|*,6,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.3,73
2164,(미상:2164),총운|*,6,4,2202,사주로 보는 직업운,관심사,2.0,63
2164,(미상:2164),총운|*,6,5,2505,지금 날 좋아하는 사람은?,관심사,1.6,49
2165,사주로 보는 재물운,재물금전|*,528,1,2202,사주로 보는 직업운,직접,9.2,27
2165,사주로 보는 재물운,재물금전|*,528,2,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,직접,5.8,17
2165,사주로 보는 재물운,재물금전|*,528,3,2465,사주로 보는 내 전성기,직접,5.8,17
2165,사주로 보는 재물운,재물금전|*,528,4,2141,그 사람의 속마음,직접,3.7,11
2165,사주로 보는 재물운,재물금전|*,528,5,2127,이 주의 금전운,관심사,1.7,24
2166,그 사람과 나의 사주 궁합,연애|궁합,2230,1,1210,우리 얼마나 오래 갈까?,직접,5.9,87
2166,그 사람과 나의 사주 궁합,연애|궁합,2230,2,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,직접,5.3,78
2166,그 사람과 나의 사주 궁합,연애|궁합,2230,3,2141,그 사람의 속마음,직접,4.1,60
2166,그 사람과 나의 사주 궁합,연애|궁합,2230,4,26805,그 사람과 나의 3가지 사주궁합,직접,2.3,34
2166,그 사람과 나의 사주 궁합,연애|궁합,2230,5,42660,"우리 커플 삼단궁합 : 연애궁합, 속궁합, 결혼궁합",직접,2.3,33
2167,(미상:2167),자기탐구|*,19,1,2202,사주로 보는 직업운,관심사,3.9,25
2167,(미상:2167),자기탐구|*,19,2,2141,그 사람의 속마음,관심사,3.3,21
2167,(미상:2167),자기탐구|*,19,3,18668,사주로 보는 성격유형,관심사,2.7,17
2167,(미상:2167),자기탐구|*,19,4,18702,내 사주로 연예인이 된다면?,관심사,2.4,15
2167,(미상:2167),자기탐구|*,19,5,2273,전생 알아보기,관심사,2.2,14
2170,우리가 헤어진다면,연애|재회|문제해결,50,1,2366,지금 헤어져도 될까,관심사,25.0,10
2170,우리가 헤어진다면,연애|재회|문제해결,50,2,1210,우리 얼마나 오래 갈까?,관심사,12.5,5
2170,우리가 헤어진다면,연애|재회|문제해결,50,3,2196,헤어진 사람 잊는 법,관심사,7.5,3
2170,우리가 헤어진다면,연애|재회|문제해결,50,4,23704,내 마음은 지금 어떤 상태일까?,관심사,5.0,2
2170,우리가 헤어진다면,연애|재회|문제해결,50,5,16379,썸 어떻게 될까?,관심사,2.5,1
2171,직장 동료와 잘 지내는 법,학업직업|*,3,1,2202,사주로 보는 직업운,관심사,6.9,178
2171,직장 동료와 잘 지내는 법,학업직업|*,3,2,2425,이달의 합격운,관심사,4.3,109
2171,직장 동료와 잘 지내는 법,학업직업|*,3,3,536,시험 잘 볼 수 있을까,관심사,3.0,77
2171,직장 동료와 잘 지내는 법,학업직업|*,3,4,2155,이달의 취업운은 어떨까?,관심사,3.0,77
2171,직장 동료와 잘 지내는 법,학업직업|*,3,5,2165,사주로 보는 재물운,관심사,2.8,73
2182,(미상:2182),연애|썸짝사랑,19,1,2141,그 사람의 속마음,관심사,17.0,354
2182,(미상:2182),연애|썸짝사랑,19,2,17212,그 사람이 연락을 안 하는 이유,관심사,3.9,81
2182,(미상:2182),연애|썸짝사랑,19,3,18648,내가 관심 있는 거 눈치챘을까?,관심사,2.8,59
2182,(미상:2182),연애|썸짝사랑,19,4,16378,짝사랑 이루어질까?,관심사,2.4,49
2182,(미상:2182),연애|썸짝사랑,19,5,2505,지금 날 좋아하는 사람은?,관심사,2.1,44
2196,헤어진 사람 잊는 법,연애|재회,42,1,400,다시 만날 수 있을까,관심사,15.0,1753
2196,헤어진 사람 잊는 법,연애|재회,42,2,2142,재회확률 높이는 법,관심사,8.7,1014
2196,헤어진 사람 잊는 법,연애|재회,42,3,2236,전연인 어떻게 지낼까,관심사,6.5,762
2196,헤어진 사람 잊는 법,연애|재회,42,4,2141,그 사람의 속마음,관심사,5.1,596
2196,헤어진 사람 잊는 법,연애|재회,42,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,관심사,4.0,468
2202,사주로 보는 직업운,학업직업|*,771,1,2165,사주로 보는 재물운,직접,8.5,49
2202,사주로 보는 직업운,학업직업|*,771,2,537,나에게 어울리는 직업은?,직접,5.2,30
2202,사주로 보는 직업운,학업직업|*,771,3,18668,사주로 보는 성격유형,직접,3.6,21
2202,사주로 보는 직업운,학업직업|*,771,4,13663,어떤 사람과 사귈 운명일까?,직접,2.6,15
2202,사주로 보는 직업운,학업직업|*,771,5,18635,사주로 보는 대박 부업운,직접,2.4,14
2203,사주로 보는 건강운,자기탐구|*,44,1,2202,사주로 보는 직업운,관심사,3.9,25
2203,사주로 보는 건강운,자기탐구|*,44,2,2141,그 사람의 속마음,관심사,3.3,21
2203,사주로 보는 건강운,자기탐구|*,44,3,18668,사주로 보는 성격유형,관심사,2.7,17
2203,사주로 보는 건강운,자기탐구|*,44,4,18702,내 사주로 연예인이 된다면?,관심사,2.4,15
2203,사주로 보는 건강운,자기탐구|*,44,5,2273,전생 알아보기,관심사,2.2,14
2216,그 회사가 나랑 잘 어울릴까?,일반운세|궁합,30,1,2395,내 첫인상 어떨까?,관심사,8.4,11
2216,그 회사가 나랑 잘 어울릴까?,일반운세|궁합,30,2,2240,연애할 때 내 매력은 뭘까?,관심사,6.1,8
2216,그 회사가 나랑 잘 어울릴까?,일반운세|궁합,30,3,2141,그 사람의 속마음,관심사,6.1,8
2216,그 회사가 나랑 잘 어울릴까?,일반운세|궁합,30,4,2227,동갑vs연하vs연상,관심사,3.1,4
2216,그 회사가 나랑 잘 어울릴까?,일반운세|궁합,30,5,13663,어떤 사람과 사귈 운명일까?,관심사,2.3,3
2217,그날 헤어지지 않았다면,연애|재회,131,1,400,다시 만날 수 있을까,직접,21.2,21
2217,그날 헤어지지 않았다면,연애|재회,131,2,2142,재회확률 높이는 법,관심사,8.7,1014
2217,그날 헤어지지 않았다면,연애|재회,131,3,2236,전연인 어떻게 지낼까,관심사,6.5,762
2217,그날 헤어지지 않았다면,연애|재회,131,4,2141,그 사람의 속마음,관심사,5.1,596
2217,그날 헤어지지 않았다면,연애|재회,131,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,관심사,4.0,468
2219,다른 사람이 보는 내 매력과 장점은?,일반운세|*,87,1,2240,연애할 때 내 매력은 뭘까?,직접,23.1,15
2219,다른 사람이 보는 내 매력과 장점은?,일반운세|*,87,2,2202,사주로 보는 직업운,관심사,3.3,117
2219,다른 사람이 보는 내 매력과 장점은?,일반운세|*,87,3,2165,사주로 보는 재물운,관심사,2.9,102
2219,다른 사람이 보는 내 매력과 장점은?,일반운세|*,87,4,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.2,76
2219,다른 사람이 보는 내 매력과 장점은?,일반운세|*,87,5,28729,내 운이 트이는 동네는?(서울편),관심사,2.0,69
2223,(미상:2223),재물금전|*,22,1,2165,사주로 보는 재물운,관심사,6.1,84
2223,(미상:2223),재물금전|*,22,2,20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,관심사,5.2,71
2223,(미상:2223),재물금전|*,22,3,2202,사주로 보는 직업운,관심사,4.2,58
2223,(미상:2223),재물금전|*,22,4,2465,사주로 보는 내 전성기,관심사,2.3,31
2223,(미상:2223),재물금전|*,22,5,2127,이 주의 금전운,관심사,1.7,24
2227,동갑vs연하vs연상,연애|*,147,1,2141,그 사람의 속마음,관심사,5.4,1227
2227,동갑vs연하vs연상,연애|*,147,2,2505,지금 날 좋아하는 사람은?,관심사,3.1,715
2227,동갑vs연하vs연상,연애|*,147,3,42952,내 사주에 쓰인 운명의 배우자,관심사,2.7,611
2227,동갑vs연하vs연상,연애|*,147,4,13663,어떤 사람과 사귈 운명일까?,관심사,2.4,556
2227,동갑vs연하vs연상,연애|*,147,5,400,다시 만날 수 있을까,관심사,2.4,552
2231,(미상:2231),일반운세|*,6,1,2202,사주로 보는 직업운,관심사,3.3,117
2231,(미상:2231),일반운세|*,6,2,2165,사주로 보는 재물운,관심사,2.9,102
2231,(미상:2231),일반운세|*,6,3,21964,내 사주에 연애 상대 몇 명 있을까?,관심사,2.2,76
2231,(미상:2231),일반운세|*,6,4,28729,내 운이 트이는 동네는?(서울편),관심사,2.0,69
2231,(미상:2231),일반운세|*,6,5,2141,그 사람의 속마음,관심사,1.9,67
