anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
22360,사주로 보는 내 결혼 상대는?,984,4,23878,내 운명 지금 어디 있을까?,연애/사주,28,2.8,2.5,2.0
22360,사주로 보는 내 결혼 상대는?,984,5,2505,지금 날 좋아하는 사람은?,연애/타로,25,2.5,1.18,1.7
23088,오늘의 썸 연애운: 그 사람과 잘 되는 법,90,1,2141,그 사람의 속마음,연애/타로,24,26.7,5.17,18.6
23186,이번 주에 고백하면 성공할까?,84,1,2141,그 사람의 속마음,연애/타로,24,28.6,5.54,20.0
23705,그 사람 얼마나 잘 지낼까?,93,1,400,다시 만날 수 있을까,연애/타로,17,18.3,4.47,11.7
23705,그 사람 얼마나 잘 지낼까?,93,2,2217,그날 헤어지지 않았다면,연애/타로,10,10.8,26.0,5.9
23878,내 운명 지금 어디 있을까?,867,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,43,5.0,2.8,3.7
23878,내 운명 지금 어디 있을까?,867,2,22360,사주로 보는 내 결혼 상대는?,결혼/사주,33,3.8,4.03,2.7
23878,내 운명 지금 어디 있을까?,867,3,24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",연애/사주,29,3.3,5.49,2.3
23878,내 운명 지금 어디 있을까?,867,4,2505,지금 날 좋아하는 사람은?,연애/타로,27,3.1,1.45,2.1
23878,내 운명 지금 어디 있을까?,867,5,2141,그 사람의 속마음,연애/타로,27,3.1,0.6,2.1
24509,내 사주의 연애와 결혼: 운명의 두 사람,181,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,13,7.2,4.05,4.2
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",511,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,28,5.5,3.09,3.8
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",511,2,13663,어떤 사람과 사귈 운명일까?,연애/타로,23,4.5,2.59,3.0
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",511,3,23878,내 운명 지금 어디 있을까?,연애/사주,22,4.3,3.78,2.9
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",511,4,2141,그 사람의 속마음,연애/타로,19,3.7,0.72,2.4
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",511,5,2505,지금 날 좋아하는 사람은?,연애/타로,17,3.3,1.55,2.1
25297,사주로 보는 그 사람의 속마음,430,1,2141,그 사람의 속마음,연애/타로,42,9.8,1.9,7.3
25297,사주로 보는 그 사람의 속마음,430,2,26214,그 사람도 날 좋아할까?,연애/타로,16,3.7,9.15,2.3
25297,사주로 보는 그 사람의 속마음,430,3,16426,좋아하는 그 사람의 속마음은?,연애/타로,16,3.7,8.91,2.3
25297,사주로 보는 그 사람의 속마음,430,4,18639,걔는 나를 연애 상대로 볼까?,연애/타로,13,3.0,12.83,1.8
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,1344,1,400,다시 만날 수 있을까,연애/타로,194,14.4,3.53,12.7
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,1344,2,2142,재회확률 높이는 법,연애/타로,118,8.8,4.28,7.4
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,1344,3,2141,그 사람의 속마음,연애/타로,81,6.0,1.17,4.9
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,1344,4,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,77,5.7,3.64,4.6
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,1344,5,39091,재회 타로 : 그 사람의 첫 연락,연애/타로,60,4.5,5.76,3.5
26214,그 사람도 날 좋아할까?,280,1,2141,그 사람의 속마음,연애/타로,62,22.1,4.3,17.7
26214,그 사람도 날 좋아할까?,280,2,16426,좋아하는 그 사람의 속마음은?,연애/타로,10,3.6,8.55,2.0
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,332,1,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,16,4.8,5.69,3.0
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,332,2,2166,그 사람과 나의 사주 궁합,연애/사주,15,4.5,3.67,2.8
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,332,3,21964,내 사주에 연애 상대 몇 명 있을까?,연애/사주,14,4.2,2.38,2.5
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,332,4,18705,나는 결혼해도 되는 사주일까?,결혼/사주,12,3.6,5.19,2.1
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,332,5,22360,사주로 보는 내 결혼 상대는?,결혼/사주,11,3.3,3.51,1.9
26805,그 사람과 나의 3가지 사주궁합,541,1,2166,그 사람과 나의 사주 궁합,연애/사주,31,5.7,4.66,4.1
26805,그 사람과 나의 3가지 사주궁합,541,2,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼/사주,19,3.5,4.15,2.3
26805,그 사람과 나의 3가지 사주궁합,541,3,1210,우리 얼마나 오래 갈까?,연애/타로,19,3.5,3.03,2.3
26805,그 사람과 나의 3가지 사주궁합,541,4,2141,그 사람의 속마음,연애/타로,14,2.6,0.5,1.5
26805,그 사람과 나의 3가지 사주궁합,541,5,26502,사주로 보는 결혼수: 나는 언제 결혼할까?,결혼/사주,13,2.4,5.91,1.4
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,809,1,1210,우리 얼마나 오래 갈까?,연애/타로,34,4.2,3.63,3.0
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,809,2,2166,그 사람과 나의 사주 궁합,연애/사주,28,3.5,2.81,2.4
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,809,3,26805,그 사람과 나의 3가지 사주궁합,연애/사주,23,2.8,5.05,1.9
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,809,4,2202,사주로 보는 직업운,학업직업/사주,20,2.5,1.96,1.6
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,809,5,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,20,2.5,1.91,1.6
28729,내 운이 트이는 동네는?(서울편),323,1,30282,내 운이 트이는 동네는?(경기도 편),일반운세/사주,25,7.7,109.68,5.3
28729,내 운이 트이는 동네는?(서울편),323,2,2202,사주로 보는 직업운,학업직업/사주,21,6.5,5.16,4.3
28729,내 운이 트이는 동네는?(서울편),323,3,2165,사주로 보는 재물운,재물금전/사주,15,4.6,6.36,2.8
28894,재회 사주: 그 사람과 다시 만날 운명일까?,2281,1,400,다시 만날 수 있을까,연애/타로,306,13.4,3.28,12.1
28894,재회 사주: 그 사람과 다시 만날 운명일까?,2281,2,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,163,7.1,7.34,6.2
28894,재회 사주: 그 사람과 다시 만날 운명일까?,2281,3,18270,그 사람 아직 나한테 미련 있을까?,연애/타로,114,5.0,7.57,4.2
28894,재회 사주: 그 사람과 다시 만날 운명일까?,2281,4,2142,재회확률 높이는 법,연애/타로,114,5.0,2.44,4.2
28894,재회 사주: 그 사람과 다시 만날 운명일까?,2281,5,39091,재회 타로 : 그 사람의 첫 연락,연애/타로,84,3.7,4.75,3.0
30217,친구 VS 연인: 우리 둘 관계 어디까지?,71,1,2141,그 사람의 속마음,연애/타로,11,15.5,3.01,8.9
30282,내 운이 트이는 동네는?(경기도 편),56,1,28729,내 운이 트이는 동네는?(서울편),일반운세/사주,18,32.1,169.95,21.4
